Location,Score,TimeFrame,DataFormat,Data
ARCHULETA COUNTY 50 JT,Math,2009,Percent,0.629
ARCHULETA COUNTY 50 JT,Math,2010,Percent,0.723
ARCHULETA COUNTY 50 JT,Reading,2008,Percent,0.732
ARCHULETA COUNTY 50 JT,Reading,2009,Percent,0.783
ARCHULETA COUNTY 50 JT,Reading,2010,Percent,0.696
ARCHULETA COUNTY 50 JT,Writing,2008,Percent,0.302
ARCHULETA COUNTY 50 JT,Writing,2009,Percent,0.37
ARCHULETA COUNTY 50 JT,Writing,2010,Percent,0.584
ARCHULETA COUNTY 50 JT,Math,2011,Percent,0.709
ARCHULETA COUNTY 50 JT,Reading,2011,Percent,0.76
ARCHULETA COUNTY 50 JT,Writing,2011,Percent,0.466
ARCHULETA COUNTY 50 JT,Reading,2012,Percent,0.739
ARCHULETA COUNTY 50 JT,Math,2012,Percent,0.679
ARCHULETA COUNTY 50 JT,Writing,2012,Percent,0.44037
ARCHULETA COUNTY 50 JT,Math,2013,Percent,0.56667
ARCHULETA COUNTY 50 JT,Math,2014,Percent,0.58621
ARCHULETA COUNTY 50 JT,Reading,2013,Percent,0.625
ARCHULETA COUNTY 50 JT,Reading,2014,Percent,0.71591
ARCHULETA COUNTY 50 JT,Writing,2014,Percent,0.43678
ARCHULETA COUNTY 50 JT,Writing,2013,Percent,0.375
AULT-HIGHLAND RE-9,Math,2008,Percent,0.7
AULT-HIGHLAND RE-9,Math,2009,Percent,0.636
AULT-HIGHLAND RE-9,Math,2010,Percent,0.638
AULT-HIGHLAND RE-9,Reading,2008,Percent,0.638
AULT-HIGHLAND RE-9,Reading,2009,Percent,0.674
AULT-HIGHLAND RE-9,Reading,2010,Percent,0.561
AULT-HIGHLAND RE-9,Writing,2008,Percent,0.58
AULT-HIGHLAND RE-9,Writing,2009,Percent,0.68
AULT-HIGHLAND RE-9,Writing,2010,Percent,0.333
AULT-HIGHLAND RE-9,Math,2011,Percent,0.667
AULT-HIGHLAND RE-9,Reading,2011,Percent,0.694
AULT-HIGHLAND RE-9,Writing,2011,Percent,0.484
AULT-HIGHLAND RE-9,Reading,2012,Percent,0.559
AULT-HIGHLAND RE-9,Math,2012,Percent,0.515
AULT-HIGHLAND RE-9,Writing,2012,Percent,0.36364
AULT-HIGHLAND RE-9,Math,2013,Percent,0.72581
AULT-HIGHLAND RE-9,Math,2014,Percent,0.61538
AULT-HIGHLAND RE-9,Reading,2013,Percent,0.75
AULT-HIGHLAND RE-9,Reading,2014,Percent,0.66038
AULT-HIGHLAND RE-9,Writing,2014,Percent,0.55769
AULT-HIGHLAND RE-9,Writing,2013,Percent,0.45
BENNETT 29J,Math,2008,Percent,0.687
BENNETT 29J,Math,2009,Percent,0.719
BENNETT 29J,Math,2010,Percent,0.639
BENNETT 29J,Reading,2008,Percent,0.61
BENNETT 29J,Reading,2009,Percent,0.753
BENNETT 29J,Reading,2010,Percent,0.667
BENNETT 29J,Writing,2008,Percent,0.605
BENNETT 29J,Writing,2009,Percent,0.573
BENNETT 29J,Writing,2010,Percent,0.514
BENNETT 29J,Math,2011,Percent,0.691
BENNETT 29J,Reading,2011,Percent,0.755
BENNETT 29J,Writing,2011,Percent,0.383
BENNETT 29J,Reading,2012,Percent,0.79
BENNETT 29J,Math,2012,Percent,0.753
BENNETT 29J,Writing,2012,Percent,0.48148
BENNETT 29J,Math,2013,Percent,0.76119
BENNETT 29J,Math,2014,Percent,0.80597
BENNETT 29J,Reading,2013,Percent,0.68657
BENNETT 29J,Reading,2014,Percent,0.70149
BENNETT 29J,Writing,2014,Percent,0.56716
BENNETT 29J,Writing,2013,Percent,0.44776
BETHUNE R-5,Math,2008,Percent,#VALUE!
BETHUNE R-5,Math,2009,Percent,#VALUE!
BETHUNE R-5,Math,2010,Percent,N/A
BETHUNE R-5,Reading,2008,Percent,N/A
BETHUNE R-5,Reading,2009,Percent,N/A
BETHUNE R-5,Reading,2010,Percent,N/A
BETHUNE R-5,Writing,2008,Percent,0.47
BETHUNE R-5,Writing,2009,Percent,0.618
BETHUNE R-5,Writing,2010,Percent,N/A
BETHUNE R-5,Math,2011,Percent,LNE
BETHUNE R-5,Reading,2011,Percent,LNE
BETHUNE R-5,Writing,2011,Percent,LNE
BETHUNE R-5,Reading,2012,Percent,LNE
BETHUNE R-5,Math,2012,Percent,LNE
BETHUNE R-5,Writing,2012,Percent,LNE
BETHUNE R-5,Math,2013,Percent,LNE
BETHUNE R-5,Math,2014,Percent,LNE
BETHUNE R-5,Reading,2013,Percent,LNE
BETHUNE R-5,Reading,2014,Percent,LNE
BETHUNE R-5,Writing,2014,Percent,LNE
BETHUNE R-5,Writing,2013,Percent,LNE
BOULDER VALLEY RE 2,Math,2008,Percent,0.823
BOULDER VALLEY RE 2,Math,2009,Percent,0.814
BOULDER VALLEY RE 2,Math,2010,Percent,0.806
BOULDER VALLEY RE 2,Reading,2008,Percent,0.851
BOULDER VALLEY RE 2,Reading,2009,Percent,0.847
BOULDER VALLEY RE 2,Reading,2010,Percent,0.827
BOULDER VALLEY RE 2,Writing,2008,Percent,0.708
BOULDER VALLEY RE 2,Writing,2009,Percent,0.682
BOULDER VALLEY RE 2,Writing,2010,Percent,0.631
BOULDER VALLEY RE 2,Math,2011,Percent,0.811
BOULDER VALLEY RE 2,Reading,2011,Percent,0.844
BOULDER VALLEY RE 2,Writing,2011,Percent,0.635
BOULDER VALLEY RE 2,Reading,2012,Percent,0.839
BOULDER VALLEY RE 2,Math,2012,Percent,0.826
BOULDER VALLEY RE 2,Writing,2012,Percent,0.6587
BOULDER VALLEY RE 2,Math,2013,Percent,0.82047
BOULDER VALLEY RE 2,Math,2014,Percent,0.78467
BOULDER VALLEY RE 2,Reading,2013,Percent,0.84302
BOULDER VALLEY RE 2,Reading,2014,Percent,0.83375
BOULDER VALLEY RE 2,Writing,2014,Percent,0.65084
BOULDER VALLEY RE 2,Writing,2013,Percent,0.65129
BUFFALO RE-4,Math,2008,Percent,0.88
BUFFALO RE-4,Math,2009,Percent,0.87
BUFFALO RE-4,Math,2010,Percent,0.783
BUFFALO RE-4,Reading,2008,Percent,0.68
BUFFALO RE-4,Reading,2009,Percent,0.957
BUFFALO RE-4,Reading,2010,Percent,0.864
BUFFALO RE-4,Writing,2008,Percent,0.433
BUFFALO RE-4,Writing,2009,Percent,0.705
BUFFALO RE-4,Writing,2010,Percent,0.565
BUFFALO RE-4,Math,2011,Percent,0.857
BUFFALO RE-4,Reading,2011,Percent,0.952
BUFFALO RE-4,Writing,2011,Percent,0.714
BUFFALO RE-4,Reading,2012,Percent,0.682
BUFFALO RE-4,Math,2012,Percent,0.682
BUFFALO RE-4,Writing,2012,Percent,0.45455
BUFFALO RE-4,Math,2013,Percent,0.90909
BUFFALO RE-4,Math,2014,Percent,0.83333
BUFFALO RE-4,Reading,2013,Percent,0.90909
BUFFALO RE-4,Reading,2014,Percent,0.875
BUFFALO RE-4,Writing,2014,Percent,0.54167
BUFFALO RE-4,Writing,2013,Percent,0.86364
Colorado,Math,2008,Percent,0.697
Colorado,Math,2009,Percent,0.691
Colorado,Math,2010,Percent,0.706
Colorado,Reading,2008,Percent,0.703
Colorado,Reading,2009,Percent,0.726
Colorado,Reading,2010,Percent,0.698
Colorado,Writing,2008,Percent,0.501
Colorado,Writing,2009,Percent,0.536
Colorado,Writing,2010,Percent,0.504
Colorado,Math,2011,Percent,0.696
Colorado,Reading,2011,Percent,0.728
Colorado,Writing,2011,Percent,0.513
Colorado,Reading,2012,Percent,0.739
Colorado,Math,2012,Percent,0.71
Colorado,Writing,2012,Percent,0.525
Colorado,Math,2013,Percent,0.72295
Colorado,Math,2014,Percent,0.71589
Colorado,Reading,2013,Percent,0.73256
Colorado,Reading,2014,Percent,0.71581
Colorado,Writing,2014,Percent,0.51072
Colorado,Writing,2013,Percent,0.50947
MONTROSE COUNTY RE-1J,Math,2008,Percent,0.618
MONTROSE COUNTY RE-1J,Math,2009,Percent,0.597
MONTROSE COUNTY RE-1J,Math,2010,Percent,0.692
MONTROSE COUNTY RE-1J,Reading,2008,Percent,0.642
MONTROSE COUNTY RE-1J,Reading,2009,Percent,0.669
MONTROSE COUNTY RE-1J,Reading,2010,Percent,0.597
MONTROSE COUNTY RE-1J,Writing,2008,Percent,0.281
MONTROSE COUNTY RE-1J,Writing,2009,Percent,0.269
MONTROSE COUNTY RE-1J,Writing,2010,Percent,0.395
MONTROSE COUNTY RE-1J,Math,2011,Percent,0.65
MONTROSE COUNTY RE-1J,Reading,2011,Percent,0.628
MONTROSE COUNTY RE-1J,Writing,2011,Percent,0.348
MONTROSE COUNTY RE-1J,Reading,2012,Percent,0.673
MONTROSE COUNTY RE-1J,Math,2012,Percent,0.703
MONTROSE COUNTY RE-1J,Writing,2012,Percent,0.42537
MONTROSE COUNTY RE-1J,Math,2013,Percent,0.6715
MONTROSE COUNTY RE-1J,Math,2014,Percent,0.61751
MONTROSE COUNTY RE-1J,Reading,2013,Percent,0.69492
MONTROSE COUNTY RE-1J,Reading,2014,Percent,0.66822
MONTROSE COUNTY RE-1J,Writing,2014,Percent,0.45116
MONTROSE COUNTY RE-1J,Writing,2013,Percent,0.44068
PLATEAU RE-5,Math,2008,Percent,#VALUE!
PLATEAU RE-5,Math,2009,Percent,#VALUE!
PLATEAU RE-5,Math,2010,Percent,N/A
PLATEAU RE-5,Reading,2008,Percent,N/A
PLATEAU RE-5,Reading,2009,Percent,N/A
PLATEAU RE-5,Reading,2010,Percent,N/A
PLATEAU RE-5,Writing,2008,Percent,N/A
PLATEAU RE-5,Writing,2009,Percent,N/A
PLATEAU RE-5,Writing,2010,Percent,N/A
PLATEAU RE-5,Math,2011,Percent,LNE
PLATEAU RE-5,Reading,2011,Percent,LNE
PLATEAU RE-5,Writing,2011,Percent,LNE
PLATEAU RE-5,Reading,2012,Percent,LNE
PLATEAU RE-5,Math,2012,Percent,LNE
PLATEAU RE-5,Writing,2012,Percent,LNE
PLATEAU RE-5,Math,2013,Percent,LNE
PLATEAU RE-5,Math,2014,Percent,LNE
PLATEAU RE-5,Reading,2013,Percent,LNE
PLATEAU RE-5,Reading,2014,Percent,LNE
PLATEAU RE-5,Writing,2014,Percent,LNE
PLATEAU RE-5,Writing,2013,Percent,LNE
PLATEAU VALLEY 50,Math,2008,Percent,0.615
PLATEAU VALLEY 50,Math,2009,Percent,0.462
PLATEAU VALLEY 50,Math,2010,Percent,0.548
PLATEAU VALLEY 50,Reading,2008,Percent,0.692
PLATEAU VALLEY 50,Reading,2009,Percent,0.462
PLATEAU VALLEY 50,Reading,2010,Percent,0.452
PLATEAU VALLEY 50,Writing,2008,Percent,0.346
PLATEAU VALLEY 50,Writing,2009,Percent,0.308
PLATEAU VALLEY 50,Writing,2010,Percent,0.226
PLATEAU VALLEY 50,Math,2011,Percent,0.5
PLATEAU VALLEY 50,Reading,2011,Percent,0.654
PLATEAU VALLEY 50,Writing,2011,Percent,0.48
PLATEAU VALLEY 50,Reading,2012,Percent,0.8
PLATEAU VALLEY 50,Math,2012,Percent,0.5
PLATEAU VALLEY 50,Writing,2012,Percent,0.41667
PLATEAU VALLEY 50,Math,2013,Percent,0.48485
PLATEAU VALLEY 50,Math,2014,Percent,0.65517
PLATEAU VALLEY 50,Reading,2013,Percent,0.73529
PLATEAU VALLEY 50,Reading,2014,Percent,0.65517
PLATEAU VALLEY 50,Writing,2014,Percent,0.58621
PLATEAU VALLEY 50,Writing,2013,Percent,0.38235
YUMA SCHOOL DISTRICT 1,Math,2008,Percent,0.705
YUMA SCHOOL DISTRICT 1,Math,2009,Percent,0.625
YUMA SCHOOL DISTRICT 1,Math,2010,Percent,0.61
YUMA SCHOOL DISTRICT 1,Reading,2008,Percent,0.614
YUMA SCHOOL DISTRICT 1,Reading,2009,Percent,0.561
YUMA SCHOOL DISTRICT 1,Reading,2010,Percent,0.627
YUMA SCHOOL DISTRICT 1,Writing,2008,Percent,0.477
YUMA SCHOOL DISTRICT 1,Writing,2009,Percent,0.357
YUMA SCHOOL DISTRICT 1,Writing,2010,Percent,0.407
YUMA SCHOOL DISTRICT 1,Math,2011,Percent,0.585
YUMA SCHOOL DISTRICT 1,Reading,2011,Percent,0.661
YUMA SCHOOL DISTRICT 1,Writing,2011,Percent,0.377
YUMA SCHOOL DISTRICT 1,Reading,2012,Percent,0.734
YUMA SCHOOL DISTRICT 1,Math,2012,Percent,0.656
YUMA SCHOOL DISTRICT 1,Writing,2012,Percent,0.64063
YUMA SCHOOL DISTRICT 1,Math,2013,Percent,0.7069
YUMA SCHOOL DISTRICT 1,Math,2014,Percent,0.58065
YUMA SCHOOL DISTRICT 1,Reading,2013,Percent,0.74138
YUMA SCHOOL DISTRICT 1,Reading,2014,Percent,0.67742
YUMA SCHOOL DISTRICT 1,Writing,2014,Percent,0.45161
YUMA SCHOOL DISTRICT 1,Writing,2013,Percent,0.37931
EDGE CASE DISTRICT,Math,2008,Percent,0.705
EDGE CASE DISTRICT,Math,2009,Percent,0.625
EDGE CASE DISTRICT,Math,2010,Percent,0.61
EDGE CASE DISTRICT,Reading,2008,Percent,0.614
EDGE CASE DISTRICT,Reading,2009,Percent,0.561
EDGE CASE DISTRICT,Reading,2010,Percent,0.627
EDGE CASE DISTRICT,Writing,2008,Percent,0.477
EDGE CASE DISTRICT,Writing,2009,Percent,0.357
EDGE CASE DISTRICT,Writing,2010,Percent,0.407
EDGE CASE DISTRICT,Math,2011,Percent,0.585
EDGE CASE DISTRICT,Reading,2011,Percent,0.661
EDGE CASE DISTRICT,Writing,2011,Percent,0.377
EDGE CASE DISTRICT,Reading,2012,Percent,0.734
EDGE CASE DISTRICT,Math,2012,Percent,0.656
EDGE CASE DISTRICT,Writing,2012,Percent,0.64063
EDGE CASE DISTRICT,Math,2013,Percent,0.7069
EDGE CASE DISTRICT,Math,2014,Percent,0.58065
EDGE CASE DISTRICT,Reading,2013,Percent,0.74138
EDGE CASE DISTRICT,Reading,2014,Percent,0.67742
EDGE CASE DISTRICT,Writing,2014,Percent,0.45161
EDGE CASE DISTRICT,Writing,2013,Percent,0.37931
